Event,Room,Utility,AMVs,Category,Color,TimeSlot
AMV Contest Overflow,"('Hynes', 'Fan Creations 312')",8.0,True,Fan Creations,#CCFF66,"['09:00', '09:15', '09:30', '09:45', '10:00', '10:15', '10:30', '10:45', '11:00', '11:15', '11:30', '11:45', '12:00', '12:15', '12:30', '12:45', '13:00', '13:15', '13:30', '13:45', '14:00', '14:15', '14:30', '14:45']"
An Hour With Steve Blum,"('Sheraton', 'Panel Constitution A')",3.5,False,Q&A,#72B7ED,"['12:00', '12:15', '12:30', '12:45']"
"Armor, Swords, and - Lobsters? Explore the Craft of Japanese Metalwork","('Hynes', 'Panel 208')",1.0,False,Fan Content,#FF69B4,"['11:00', '11:15', '11:30', '11:45']"
Break Your Brain: A history of psychological anime,"('Sheraton', 'Panel Constitution B')",3.0,False,Anime,#FFFF00,"['11:00', '11:15', '11:30', '11:45']"
Charity Auction,"('Sheraton', 'Panel Republic')",4.0,False,Activity,#F7931E,"['09:30', '09:45', '10:00', '10:15', '10:30', '10:45', '11:00', '11:15', '11:30', '11:45', '12:00', '12:15']"
Closing Ceremonies,"('Hynes', 'Memorial Auditorium')",10.0,False,Family Friendly,#A64FF7,"['15:00', '15:15', '15:30', '15:45']"
Code Geass and why its themes remain relevant ,"('Hynes', 'Events 302')",8.5,False,Fan Content,#FF69B4,"['09:00', '09:15', '09:30', '09:45']"
Contemporary Literary Women of Japan ,"('Sheraton', 'Panel Gardner')",8.5,False,Panel,#72B7ED,"['12:30', '12:45', '13:00', '13:15']"
Convention Feedback,"('Hynes', 'Panel 207')",3.0,False,Panel,#72B7ED,"['16:00', '16:15', '16:30', '16:45']"
Cosplay Armor 101,"('Hynes', 'Panel 208')",7.0,False,Cosplay,#CC99FF,"['12:30', '12:45', '13:00', '13:15']"
Cosplay Runway,"('Hynes', 'Ballroom B')",6.5,False,Family Friendly,#A64FF7,"['11:00', '11:15', '11:30', '11:45']"
Cosplay Scavenger Hunt,"('Hynes', 'Panel 202')",9.75,False,Family Friendly,#A64FF7,"['13:00', '13:15', '13:30', '13:45', '14:00', '14:15', '14:30', '14:45']"
Cosplay Singer,"('Hynes', 'Events 302')",2.25,False,Stage Show,#AFE1F1,"['14:00', '14:15', '14:30', '14:45']"
Crowning Moments & Global Cosplay Competitions,"('Hynes', 'Panel 309')",1.5,False,Guest Content,#00FF00,"['10:30', '10:45', '11:00', '11:15']"
Culture of Change: Addressing Racism in Cosplay,"('Hynes', 'Panel 309')",1.5,False,Representation,#00FFFF,"['09:00', '09:15', '09:30', '09:45']"
Death Note,"('Hynes', 'Video 210')",0.5,False,Video,#66A3D2,"['10:00', '10:15', '10:30', '10:45', '11:00', '11:15', '11:30', '11:45']"
Demon Slayer Gathering,"('Hynes', 'Ballroom A')",2.5,False,Social Gatherings,#FF3366,"['10:30', '10:45', '11:00', '11:15']"
Endangered Languages of Japan,"('Sheraton', 'Panel Gardner')",2.5,False,Panel,#72B7ED,"['14:00', '14:15', '14:30', '14:45']"
Food of the Occident: A History of Yōshoku and Foreign Policy,"('Sheraton', 'Panel Constitution A')",2.5,False,Food,#FFCCFF,"['09:00', '09:15', '09:30', '09:45']"
Friends to Lovers: What Do These Tropes Even Mean,"('Hynes', 'Panel 202')",7.0,False,Anime,#FFFF00,"['11:00', '11:15', '11:30', '11:45']"
From Black Butler to Twisted Wonderland: Inspiration and Magic,"('Hynes', 'Panel 310')",1.0,False,Panel,#72B7ED,"['12:30', '12:45', '13:00', '13:15']"
From Gum to Gundam: Anime Funding Through History,"('Sheraton', 'Panel Constitution B')",1.0,False,History,#CCFFCC,"['14:00', '14:15', '14:30', '14:45']"
Gender Non-Conforming Men in Lolita Fashion,"('Hynes', 'Panel 202')",1.0,False,Panel,#72B7ED,"['09:30', '09:45', '10:00', '10:15']"
Goodnight Mr. Nook,"('Sheraton', 'Panel Constitution B')",3.5,False,Panel,#72B7ED,"['12:30', '12:45', '13:00', '13:15']"
Gundam Building - Beginner,"('Sheraton', 'Panel Gardner')",1.0,False,Arts and Crafting|Partner Content|Workshop,#CC99FF|#F7931E|#FF69B4,"['11:00', '11:15', '11:30', '11:45']"
HIDIVE Presents From Bureaucrat to Villainess: Dad’s Been Reincarnated! Dub Special Screening Eps 1 & 2 ,"('Hynes', 'Video 210')",1.0,False,Anime,#FFFF00,"['12:30', '12:45', '13:00', '13:15']"
ID Check Seating,"('Hynes', 'Social 110')",0.0,False,ID Check|Seating,#999999|#CCCCCC,"['11:00', '11:15', '12:30', '12:45']"
ID Check Seating,"('Hynes', 'Social 111')",0.0,False,ID Check|Seating,#999999|#CCCCCC,"['11:30', '11:45', '13:00', '13:15']"
Idol Showcase,"('Hynes', 'Memorial Auditorium')",3.0,False,Stage Show,#AFE1F1,"['10:30', '10:45', '11:00', '11:15', '11:30', '11:45', '12:00', '12:15']"
Itabag Show & Tell,"('Sheraton', 'Workshop Fairfax')",6.0,False,Family Friendly,#A64FF7,"['13:30', '13:45', '14:00', '14:15', '14:30', '14:45']"
J-Fashion Swap Meet,"('Hynes', 'Ballroom A')",4.5,False,Fashion,#CC99FF,"['12:30', '12:45', '13:00', '13:15', '13:30', '13:45', '14:00', '14:15', '14:30', '14:45']"
Killing Point! K-Pop Skit Contest,"('Hynes', 'Ballroom B')",4.5,False,Stage Show,#AFE1F1,"['13:30', '13:45', '14:00', '14:15', '14:30', '14:45']"
